Diamond,carat,cut,color,clarity,depth,table,x,y,z
Diamond 346,1.02,Ideal,F,SI2,61.6,56.0,6.52,6.49,4.01
Diamond 347,1.05,Premium,F,SI1,60.3,60.0,6.66,6.54,3.98
Diamond 348,1.22,Ideal,J,SI1,62.3,55.0,,6.83,4.28
Diamond 349,0.43,Premium,F,SI1,61.6,59.0,4.87,4.83,2.99
Diamond 350,0.78,Ideal,D,VS1,62.1,55.0,5.9,,3.68
Diamond 351,1.51,Good,G,VVS1,57.9,62.0,7.54,7.53,4.36
Diamond 352,0.9,Good,G,VS2,60.4,61.0,6.23,6.32,3.79
Diamond 353,0.71,Ideal,H,VS1,60.3,59.0,5.75,5.79,3.48
Diamond 354,0.43,Ideal,G,SI1,61.5,,4.84,4.87,2.98
Diamond 355,0.3,Ideal,E,VVS2,61.8,56.0,4.33,4.35,2.68
Diamond 356,0.3,Very Good,I,SI1,62.5,57.0,4.27,4.3,2.68
Diamond 357,1.07,Ideal,H,VS1,61.0,57.0,6.59,6.63,
Diamond 358,0.32,Ideal,D,SI1,60.8,57.0,4.44,4.41,2.69
Diamond 359,0.52,Very Good,D,VS2,60.6,56.0,5.22,5.25,3.17
Diamond 360,0.75,Good,F,I1,64.0,59.0,5.78,5.62,3.66
Diamond 361,0.51,Ideal,G,VVS2,61.3,57.0,5.15,5.12,3.15
Diamond 362,1.05,Premium,,IF,,60.0,6.57,6.59,3.99
Diamond 363,2.17,Very Good,J,SI2,60.8,59.0,,8.41,5.1
Diamond 364,0.32,Ideal,G,VVS1,61.1,55.0,4.46,,2.73
Diamond 365,1.0,Premium,H,VS2,58.4,60.0,6.36,6.3,3.7
Diamond 366,0.36,Premium,I,VS1,60.3,60.0,4.64,4.58,2.78
Diamond 367,0.41,Ideal,F,VVS2,61.7,57.0,4.8,4.73,2.94
Diamond 368,0.38,Very Good,F,SI2,61.2,57.0,4.67,4.71,2.87
Diamond 369,0.32,Very Good,,VS2,62.9,56.0,4.37,4.4,2.76
Diamond 370,1.07,Very Good,G,VS1,58.6,60.0,6.65,6.76,3.93
Diamond 371,2.02,Very Good,F,SI1,62.7,59.0,7.97,8.03,5.02
Diamond 372,,Good,H,SI2,63.8,56.0,,4.36,2.79
Diamond 373,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26
Diamond 374,0.43,Good,D,VS2,59.9,61.0,4.84,4.88,2.91
Diamond 375,0.58,,G,VVS2,62.0,57.0,,5.34,3.31
Diamond 376,0.71,Ideal,I,VVS2,60.4,57.0,5.78,5.81,3.5
Diamond 377,0.5,Premium,I,VVS1,62.8,61.0,5.05,4.98,3.15
Diamond 378,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21
Diamond 379,1.01,Premium,G,SI1,59.8,58.0,6.54,6.58,3.92
Diamond 380,1.1,Very Good,H,SI1,,58.0,,6.61,4.1
Diamond 381,0.34,Premium,D,SI1,60.2,60.0,4.54,4.5,
Diamond 382,0.38,Premium,D,SI1,60.7,60.0,4.63,4.69,2.83
Diamond 383,0.91,Good,F,VVS2,62.6,61.0,6.12,6.19,3.85
Diamond 384,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79
Diamond 385,0.9,Very Good,,VS2,61.8,56.0,6.18,6.25,3.84
Diamond 386,0.52,Ideal,,VS2,61.9,57.0,5.17,5.14,3.19
Diamond 387,1.53,Ideal,I,SI2,62.4,58.0,,7.37,4.58
Diamond 388,0.71,Ideal,E,,62.4,56.0,5.75,5.7,3.57
Diamond 389,0.7,Premium,H,VVS2,61.0,57.0,5.76,5.72,3.5
Diamond 390,,Premium,E,VVS1,60.6,58.0,4.2,4.18,2.54
Diamond 391,0.57,Ideal,I,VS1,61.6,56.0,5.33,5.35,
Diamond 392,0.72,Ideal,F,VS2,61.1,56.0,5.92,5.8,
Diamond 393,0.35,Ideal,F,VS2,61.4,56.0,4.53,4.56,2.79
Diamond 394,1.51,Very Good,E,VVS2,,61.0,,7.4,4.44
Diamond 395,0.59,Very Good,E,SI2,63.8,57.0,5.31,5.34,3.4
Diamond 396,0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67
Diamond 397,0.57,Premium,G,VVS2,60.2,60.0,5.44,5.36,3.25
Diamond 398,0.38,Ideal,H,IF,60.0,60.0,4.71,4.76,2.84
Diamond 399,0.65,Ideal,H,VVS2,61.6,58.0,5.56,5.6,3.44
Diamond 400,3.01,Fair,I,SI2,65.8,56.0,8.99,8.94,5.9
Diamond 401,0.53,Ideal,G,VVS2,60.4,59.0,5.26,,3.19
Diamond 402,0.73,Ideal,I,SI1,62.0,57.0,5.74,5.77,3.56
Diamond 403,0.5,Fair,G,VS1,65.7,63.0,4.97,4.87,3.23
Diamond 404,1.06,Ideal,G,VVS2,61.7,56.0,6.59,6.56,4.06
Diamond 405,0.59,Ideal,G,VS1,62.1,55.0,5.35,5.4,3.34
Diamond 406,0.3,Ideal,E,SI1,62.3,57.0,4.28,4.32,2.68
Diamond 407,1.51,Premium,I,VS2,60.9,60.0,7.46,7.33,4.5
Diamond 408,1.0,Very Good,E,SI2,62.5,55.0,6.38,6.41,4.0
Diamond 409,0.9,Very Good,H,,63.0,62.0,6.09,6.0,3.81
Diamond 410,0.9,Good,I,VVS1,63.6,58.0,6.1,6.14,3.89
Diamond 411,0.8,Premium,H,VS1,62.0,60.0,,,3.65
Diamond 412,0.28,Ideal,H,VS1,62.2,54.0,4.18,,2.61
Diamond 413,0.51,Ideal,G,VS1,62.0,56.0,5.06,5.16,3.17
Diamond 414,0.27,Very Good,E,VS1,63.8,60.0,4.03,4.09,2.59
Diamond 415,0.42,Ideal,E,VVS2,62.3,55.0,4.81,4.76,2.98
Diamond 416,0.72,Very Good,,SI1,,54.0,5.72,5.76,
Diamond 417,1.55,Very Good,G,VS2,63.1,57.0,7.36,7.31,4.63
Diamond 418,1.0,Ideal,G,VS2,62.1,57.0,6.42,6.37,3.97
Diamond 419,,Premium,F,VS2,62.7,58.0,6.37,6.3,3.97
Diamond 420,2.0,Very Good,F,SI1,63.6,58.0,7.91,7.98,5.05
Diamond 421,0.3,Ideal,H,SI1,62.1,55.0,4.3,4.33,2.68
Diamond 422,0.75,Good,G,SI2,63.9,62.0,5.66,5.61,3.6
Diamond 423,0.7,Ideal,E,SI1,62.4,55.0,5.67,5.7,3.55
Diamond 424,0.54,Ideal,D,VS2,60.0,56.0,5.39,5.28,3.2
Diamond 425,0.62,Fair,F,VVS2,57.1,60.0,5.65,,
Diamond 426,0.76,,E,VVS2,60.6,59.0,5.94,5.85,3.57
Diamond 427,0.52,Very Good,,SI2,63.1,56.0,5.12,5.08,3.22
Diamond 428,1.01,Ideal,G,VS1,,57.0,6.45,6.4,3.97
Diamond 429,0.9,Ideal,F,SI2,62.4,55.0,6.17,6.2,3.86
Diamond 430,0.32,Ideal,E,VS1,59.9,55.0,4.46,4.49,2.68
Diamond 431,0.43,Premium,D,VS2,59.7,59.0,4.89,4.93,2.93
Diamond 432,,Good,H,SI2,64.1,58.0,5.68,5.65,3.63
Diamond 433,,Good,D,SI1,63.8,58.0,6.13,6.09,3.9
Diamond 434,0.72,Very Good,E,VVS2,62.0,58.0,5.71,5.74,3.55
Diamond 435,1.01,Ideal,E,SI2,62.0,56.0,6.46,6.42,3.99
Diamond 436,1.25,Ideal,F,VS1,61.7,56.0,6.93,,4.27
Diamond 437,1.09,Ideal,H,SI1,61.9,57.0,6.58,6.63,
Diamond 438,0.26,Very Good,E,IF,58.7,63.0,4.19,4.23,2.47
Diamond 439,0.77,Premium,D,VS2,61.8,58.0,5.84,5.81,
Diamond 440,1.04,Very Good,,SI2,63.2,58.0,6.39,6.34,4.02
Diamond 441,1.53,Ideal,F,SI1,60.3,,7.52,7.45,4.51
Diamond 442,1.01,Fair,J,VS2,65.8,55.0,6.29,6.24,4.12
Diamond 443,0.37,Very Good,G,VS1,61.5,58.0,4.57,,2.82
Diamond 444,,,E,VVS1,58.7,66.0,5.34,5.43,3.16
Diamond 445,0.7,Ideal,H,VS2,61.2,56.0,5.72,5.75,3.51
Diamond 446,,Premium,D,SI1,60.4,59.0,4.62,4.68,2.81
Diamond 447,0.53,Ideal,D,VS2,61.2,57.0,5.2,5.26,3.2
Diamond 448,0.27,,E,VVS2,62.2,55.0,4.17,4.12,2.58
Diamond 449,0.3,Premium,E,VS2,61.9,59.0,4.29,4.33,2.67
Diamond 450,0.51,Ideal,F,VS2,61.7,56.0,5.13,5.15,3.17
Diamond 451,1.63,Very Good,E,VS2,61.8,58.0,7.49,7.57,4.65
Diamond 452,1.02,Ideal,G,VS1,61.3,57.0,6.48,6.51,3.98
Diamond 453,2.01,Very Good,I,VVS2,,58.0,7.92,7.82,5.0
Diamond 454,1.2,Very Good,F,VS1,62.9,57.0,6.73,6.78,4.25
Diamond 455,0.46,Very Good,E,VS1,62.9,52.0,4.9,4.95,3.1
Diamond 456,0.33,Very Good,G,SI2,60.0,56.0,4.52,4.55,2.73
Diamond 457,1.51,Premium,H,SI1,60.3,62.0,7.54,7.41,4.51
Diamond 458,0.56,Ideal,G,VS2,62.0,,,,3.28
Diamond 459,2.32,Ideal,H,SI1,62.6,57.0,8.46,8.52,5.32
Diamond 460,1.57,Ideal,J,VS1,62.1,,7.46,7.49,4.64
Diamond 461,0.4,Good,D,,63.1,56.0,4.65,4.67,2.94
Diamond 462,0.38,Ideal,I,VVS2,62.0,54.5,4.66,4.69,2.9
Diamond 463,,Good,G,SI2,62.8,61.0,6.31,6.37,3.98
Diamond 464,0.27,Ideal,I,VVS2,61.2,56.0,4.18,4.2,2.56
Diamond 465,1.07,Ideal,D,VVS2,61.3,,6.55,6.64,
Diamond 466,1.62,,E,SI2,61.8,59.0,7.55,7.52,4.66
Diamond 467,0.41,,E,VVS1,64.1,55.0,4.71,4.68,3.01
Diamond 468,0.33,Ideal,E,VVS2,60.7,55.0,4.49,4.5,2.73
Diamond 469,,Very Good,H,,61.3,60.0,5.08,5.17,3.14
Diamond 470,0.58,Ideal,E,VVS2,62.1,56.0,5.33,5.36,3.32
Diamond 471,0.42,,G,,61.7,55.0,4.78,4.84,2.97
Diamond 472,2.02,Very Good,H,SI2,58.7,62.0,8.23,8.2,4.82
Diamond 473,0.72,Ideal,D,SI2,61.2,57.0,5.76,,3.54
Diamond 474,0.74,Very Good,E,SI1,61.0,58.0,5.82,5.85,3.56
Diamond 475,0.31,Ideal,H,VVS2,62.2,55.0,4.36,4.35,2.71
Diamond 476,0.54,Ideal,F,VVS2,61.0,,5.28,5.3,3.23
Diamond 477,0.3,Ideal,F,VVS1,61.2,55.0,4.33,4.36,2.66
Diamond 478,0.58,Ideal,D,SI2,62.7,56.0,5.3,5.32,3.33
Diamond 479,0.27,Very Good,E,SI1,61.2,57.0,4.2,4.23,2.58
Diamond 480,0.53,Premium,G,VS1,62.4,58.0,5.2,5.16,3.23
Diamond 481,0.86,Ideal,D,SI1,62.8,56.0,6.05,6.08,3.81
Diamond 482,1.35,Ideal,J,VS2,61.8,,7.1,7.14,4.4
Diamond 483,1.1,Premium,,SI2,62.8,55.0,6.68,6.57,4.16
Diamond 484,0.7,Ideal,G,SI2,61.3,58.0,5.67,5.69,3.48
Diamond 485,0.31,Very Good,G,VS1,62.7,54.0,4.35,4.36,2.73
Diamond 486,0.7,Good,E,VS2,60.3,60.0,5.69,5.75,3.45
Diamond 487,0.72,Ideal,,VVS1,61.5,57.0,5.74,5.76,3.54
Diamond 488,0.72,Very Good,E,SI1,,58.0,5.74,5.78,3.55
Diamond 489,0.62,Good,D,SI2,,56.0,5.42,5.39,3.46
Diamond 490,2.0,Premium,J,VS2,61.5,59.0,8.06,8.11,4.97
Diamond 491,1.03,Ideal,F,,61.5,56.0,6.47,6.53,4.0
Diamond 492,1.53,Very Good,E,SI2,59.3,58.0,7.54,7.57,4.48
Diamond 493,0.94,Very Good,H,SI2,61.9,57.0,6.21,6.29,3.87
Diamond 494,0.31,Ideal,D,VS2,60.4,56.0,4.39,4.42,2.66
Diamond 495,2.01,Very Good,,SI2,62.9,55.0,,8.09,5.07
Diamond 496,0.56,Premium,E,VVS2,61.5,,5.3,5.33,3.27
Diamond 497,0.76,Ideal,F,VS2,62.6,56.0,5.82,5.78,3.63
Diamond 498,1.29,Premium,G,VS2,58.7,58.0,7.27,7.11,
Diamond 499,1.51,Premium,I,SI1,62.2,60.0,7.3,7.23,4.52
Diamond 500,0.7,Very Good,E,SI1,63.2,61.0,5.61,5.49,3.51
